食品分類,樣品名稱,俗名,粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),糖質總量(g),鈉(mg),反式脂肪(mg),酒精含量(g)
堅果及種子類,帶膜花生仁(生)(2004年取樣),"土豆,長生果,落花生",23.6,38.1,8.2,28.4,4.4,13.0,,
堅果及種子類,紅土帶殼花生(熟),"土豆,長生果,落花生",31.2,43.9,9.1,19.5,3.8,645.0,43.0,
堅果及種子類,花生粉,,28.5,33.8,,33.0,,11.0,,
堅果及種子類,芡實,"雞頭米,雞頭",9.9,0.1,0.0,75.4,,0.0,,
堅果及種子類,愛玉子,"愛玉,草子仔,草枳子,天拋藤,玉枳,枳子,天拋,風不動",12.2,12.5,1.2,63.7,,6.0,,
堅果及種子類,原味葵瓜子(去殼),,22.0,51.9,5.1,18.7,3.0,1.0,,
堅果及種子類,銀杏果,"白果,銀杏核,公孫樹子,鴨腳樹子,靈眼",4.1,1.2,0.2,28.9,1.3,14.0,,
堅果及種子類,蓮子,,9.3,0.5,0.2,25.6,0.0,119.0,,
堅果及種子類,蓮子(乾),,21.8,1.2,0.4,60.9,2.2,305.0,,
水果類,山竹,"鳳果,都捻子,倒稔子,羅漢果,莽吉柿,果中之后",0.6,0.3,,18.1,,3.0,,
水果類,木瓜平均值,"番木瓜,番瓜",0.6,0.1,,9.9,6.2,3.0,,
水果類,木瓜(2月取樣),"番木瓜,番瓜",0.7,0.1,,7.7,6.2,2.0,,
水果類,木瓜(5月取樣),"番木瓜,番瓜",0.7,0.1,,11.3,,4.0,,
水果類,木瓜(8月取樣),"番木瓜,番瓜",0.5,0.0,,8.8,,3.0,,
水果類,木瓜(11月取樣),"番木瓜,番瓜",0.4,0.1,,11.8,,5.0,,
水果類,青木瓜,"青番木瓜,青番瓜",0.6,0.1,,7.2,4.3,5.0,,
水果類,安石榴,"石榴, 榭榴, 謝榴, 樹榴",1.7,0.1,,16.8,,8.0,,
水果類,百香果(台農一號),"時計果,西番果",2.0,2.2,0.3,21.3,11.5,2.0,0.0,
水果類,百香果汁,"時計果汁,西番果汁,西番蓮汁,美里瓜汁",0.9,0.4,,18.6,,1.0,,
水果類,金黃奇異果,"彌猴桃,猴桃,猴梨,藤梨,毛桃,羊桃,紅藤梨,金桃,楊桃",0.8,0.3,0.1,15.0,10.6,2.0,,
水果類,奇異果,"彌猴桃,猴桃,猴梨,藤梨,毛桃,羊桃,紅藤梨,金桃,楊桃",1.1,0.3,0.1,14.0,9.3,3.0,,
水果類,紅毛丹,"韶子,毛龍眼,毛荔枝",1.0,0.7,,17.9,,8.0,,
水果類,紅龍果(白肉),"火龍果,仙蜜果",0.9,0.4,0.0,12.4,8.9,0.0,,
水果類,紅龍果(紅肉),"火龍果,仙蜜果",1.1,0.2,0.1,12.3,9.2,0.0,,
水果類,北蕉平均值,"香蕉,芎蕉,弓蕉,甘蕉",1.5,0.1,0.0,22.1,18.0,0.0,,
水果類,北蕉(2月取樣),"香蕉,芎蕉,弓蕉,甘蕉",1.3,0.0,,24.6,,0.0,,
水果類,北蕉(5月取樣),"香蕉,芎蕉,弓蕉,甘蕉",1.6,0.2,0.1,23.7,18.0,0.0,,
水果類,北蕉(9月取樣),"香蕉,芎蕉,弓蕉,甘蕉",1.3,0.0,,16.6,,0.0,,
水果類,北蕉(11月取樣),"香蕉,芎蕉,弓蕉,甘蕉",1.6,0.1,,23.4,,0.0,,
水果類,"北蕉(0天,綠皮)","香蕉,芎蕉,弓蕉,甘蕉",1.3,0.3,0.1,23.3,9.2,0.0,,
水果類,北蕉(1天),"香蕉,芎蕉,弓蕉,甘蕉",1.4,0.3,0.1,22.2,13.0,0.0,,
水果類,北蕉(3天),"香蕉,芎蕉,弓蕉,甘蕉",1.4,0.3,0.1,21.3,11.9,0.0,,
水果類,北蕉(7天),"香蕉,芎蕉,弓蕉,甘蕉",1.3,0.2,0.1,17.1,10.8,0.0,,
水果類,李林蕉(2007年取樣),"香蕉,芎蕉,弓蕉,甘蕉(牛角蕉,佛手蕉,美人蕉,樹蕉)",1.4,0.3,0.2,26.3,19.8,0.0,,
水果類,李林蕉(2012年取樣),"香蕉,芎蕉,弓蕉,甘蕉(牛角蕉,佛手蕉,美人蕉,樹蕉)",1.5,0.1,,29.2,18.9,1.0,,
水果類,南華蕉,"香蕉,芎蕉,弓蕉,甘蕉(芭蕉)",1.1,0.1,0.0,33.2,19.4,0.0,,
水果類,紅皮蕉(2004年取樣),"香蕉,芎蕉,弓蕉,甘蕉,蘋果蕉",1.3,0.3,0.1,24.0,19.4,0.0,,
水果類,紅皮蕉(2012年取樣),"香蕉,芎蕉,弓蕉,甘蕉,蘋果蕉",1.3,0.2,0.1,25.5,18.2,1.0,,
水果類,蛋蕉(2023年取樣),"旦蕉, 一口蕉",1.1,0.0,0.0,23.3,18.3,3.0,0.0,
水果類,酪梨(綠皮),"牛油果(梨),黃油果(梨),油梨,?(鱷)梨,幸福果,樂天果",1.6,3.7,1.1,7.9,0.9,2.0,,
水果類,酪梨(室溫存放0天),"牛油果(梨),黃油果(梨),油梨,?(鱷)梨,幸福果,樂天果",1.5,5.9,1.7,7.1,0.3,0.0,,
水果類,酪梨(室溫存放3天),"牛油果(梨),黃油果(梨),油梨,?(鱷)梨,幸福果,樂天果",1.4,6.8,2.0,6.3,0.3,0.0,,
水果類,酪梨(室溫存放6天),"牛油果(梨),黃油果(梨),油梨,?(鱷)梨,幸福果,樂天果",1.5,7.6,2.2,6.6,0.9,1.0,,
水果類,榴槤,"榴蓮,流連,山韶子",2.7,1.9,0.7,29.7,18.4,2.0,6.0,
水果類,開英種1號鳳梨,"旺來,波羅,黃萊,黃梨,王萊(開英種1號,1號仔,突目仔)",0.6,0.2,,14.5,,0.0,,
水果類,鳳梨平均值(雜交種),"鳳梨,旺來,波羅,黃萊,黃梨,王萊",0.7,0.1,0.1,13.6,11.6,0.0,,
水果類,甘蔗鳳梨,"旺來,波羅,黃萊,黃梨,王萊(台農13號,冬蜜鳳梨)",0.7,0.1,,15.1,,0.0,,
水果類,甜蜜蜜鳳梨,"旺來,波羅,黃萊,黃梨,王萊(台農16號)",1.0,0.1,,10.6,,0.0,,
水果類,金鑽鳳梨,"旺來,波羅,黃萊,黃梨,王萊(台農17號,春蜜鳳梨)",0.5,0.1,0.1,13.2,9.5,1.0,,
水果類,牛奶鳳梨,"旺來,波羅,黃萊,黃梨,王萊(台農20號)",0.8,0.3,0.1,15.4,13.7,0.0,,
水果類,釋迦,"番荔枝,釋迦果,佛頭果,番梨",2.2,0.1,0.1,26.6,16.0,7.0,0.0,
水果類,鳳梨釋迦,"旺來釋迦,奇美釋迦,蜜釋迦",1.5,0.4,0.2,26.0,19.6,2.0,,
水果類,桑葚,"桑果,桑葚兒",1.1,0.4,0.2,7.0,3.8,1.0,,
水果類,桑葚汁,"桑果,桑葚兒",0.8,0.2,0.0,5.9,3.8,0.0,,
水果類,草莓,,1.0,0.2,0.1,9.3,6.1,7.0,,
水果類,土芭樂,"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.7,0.1,,10.0,,5.0,,
水果類,芭樂平均值(白肉),"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.7,0.1,0.1,10.2,5.5,1.0,0.0,
水果類,番石榴(珍珠拔)(有機),"牛乳芭樂,牛奶芭樂,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.6,0.1,0.1,10.4,5.9,0.0,0.0,
水果類,世紀芭樂,"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.7,0.1,,10.3,,0.0,,
水果類,珍珠芭樂,"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.7,0.2,0.1,10.6,5.2,0.0,,
水果類,泰國芭樂,"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.8,0.1,,9.7,,5.0,,
水果類,無子芭樂,"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.7,0.0,,8.6,,0.0,,
水果類,紅心芭樂,"番石榴,芭樂,拔仔,扒仔,朳仔,那拔仔,藍拔",0.8,0.1,0.0,10.7,5.3,1.0,,
